,trend_loss
0,12015.084
1,11792.093
2,11579.473
3,11351.511
4,11087.889
5,10765.762
6,10361.054
7,9858.644
8,9270.983
9,8650.84
10,8056.21
11,7502.566
12,6974.1045
13,6457.625
14,5951.545
15,5460.271
16,4988.7954
17,4542.8555
18,4131.7573
19,3767.14
20,3457.2883
21,3202.3013
22,2996.1611
23,2833.4805
24,2711.1873
25,2625.9114
26,2572.431
27,2544.595
28,2536.269
29,2541.4946
30,2554.4583
31,2569.7605
32,2583.1052
33,2591.8887
34,2595.232
35,2593.5625
36,2588.06
37,2580.1443
38,2571.0776
39,2561.7332
40,2552.5515
41,2543.6628
42,2535.0776
43,2526.839
44,2519.0798
45,2511.998
46,2505.7808
47,2500.5215
48,2496.1677
49,2492.517
50,2489.272
51,2486.1343
52,2482.8987
53,2479.5117
54,2476.0757
55,2472.7937
56,2469.896
57,2467.5637
58,2465.8784
59,2464.8127
60,2464.2544
61,2464.0522
62,2464.0654
63,2464.1946
64,2464.3884
65,2464.6294
66,2464.9087
67,2465.2031
68,2465.4678
69,2465.64
70,2465.66
71,2465.4888
72,2465.1228
73,2464.596
74,2463.9685
75,2463.3076
76,2462.675
77,2462.1108
78,2461.6328
79,2461.2417
80,2460.9321
81,2460.6973
82,2460.5344
83,2460.442
84,2460.418
85,2460.4536
86,2460.5303
87,2460.6267
88,2460.7183
89,2460.7856
90,2460.8186
91,2460.8154
92,2460.7803
93,2460.7222
94,2460.6487
95,2460.5662
96,2460.478
97,2460.3872
98,2460.296
99,2460.2085
100,2460.1296
101,2460.0627
102,2460.01
103,2459.9707
104,2459.9417
105,2459.9194
106,2459.8997
107,2459.8794
108,2459.8574
109,2459.833
110,2459.8066
111,2459.7778
112,2459.7468
113,2459.713
114,2459.676
115,2459.636
116,2459.5938
117,2459.5513
118,2459.5078
119,2459.4656
120,2459.423
121,2459.3806
122,2459.338
123,2459.2942
124,2459.2493
125,2459.2034
126,2459.1567
127,2459.1086
128,2459.0593
129,2459.008
130,2458.9556
131,2458.9011
132,2458.8447
133,2458.7861
134,2458.7256
135,2458.6626
136,2458.5974
137,2458.5295
138,2458.4587
139,2458.3848
140,2458.3074
141,2458.2266
142,2458.1416
143,2458.0527
144,2457.9592
145,2457.8606
146,2457.7563
147,2457.647
148,2457.5308
149,2457.4077
150,2457.2766
151,2457.1372
152,2456.9888
153,2456.8293
154,2456.6587
155,2456.4746
156,2456.2761
157,2456.0618
158,2455.829
159,2455.5767
160,2455.3015
161,2455.002
162,2454.6743
163,2454.3162
164,2453.9246
165,2453.4963
166,2453.0278
167,2452.5166
168,2451.9597
169,2451.3552
170,2450.7017
171,2449.9995
172,2449.248
173,2448.4497
174,2447.6057
175,2446.7188
176,2445.7893
177,2444.8179
178,2443.8015
179,2442.7344
180,2441.609
181,2440.4136
182,2439.1353
183,2437.76
184,2436.2744
185,2434.6665
186,2432.9292
187,2431.0579
188,2429.0544
189,2426.9248
190,2424.677
191,2422.3208
192,2419.8633
193,2417.306
194,2414.6455
195,2411.873
196,2408.9746
197,2405.9368
198,2402.7456
199,2399.3896
200,2395.8628
201,2392.1587
202,2388.273
203,2384.2
204,2379.9329
205,2375.4624
206,2370.7812
207,2365.883
208,2360.7651
209,2355.4258
210,2349.861
211,2344.0625
212,2338.0156
213,2331.7036
214,2325.1123
215,2318.235
216,2311.0737
217,2303.6357
218,2295.9265
219,2287.943
220,2279.6746
221,2271.1067
222,2262.2292
223,2253.0425
224,2243.5513
225,2233.7578
226,2223.6553
227,2213.2332
228,2202.483
229,2191.408
230,2180.0205
231,2168.3323
232,2156.3528
233,2144.0918
234,2131.5688
235,2118.8132
236,2105.8555
237,2092.7207
238,2079.4287
239,2066.0007
240,2052.461
241,2038.8324
242,2025.1333
243,2011.3779
244,1997.5806
245,1983.7594
246,1969.9315
247,1956.1112
248,1942.3085
249,1928.53
250,1914.7788
251,1901.0524
252,1887.3425
253,1873.6354
254,1859.915
255,1846.1669
256,1832.3843
257,1818.5757
258,1804.7732
259,1791.0421
260,1777.4797
261,1764.2031
262,1751.3232
263,1738.9136
264,1726.9937
265,1715.5343
266,1704.4863
267,1693.8087
268,1683.4927
269,1673.5631
270,1664.0754
271,1655.0956
272,1646.694
273,1638.9218
274,1631.82
275,1625.3921
276,1619.633
277,1614.5034
278,1609.9708
279,1605.9795
280,1602.4458
281,1599.2803
282,1596.397
283,1593.686
284,1591.0403
285,1588.3591
286,1585.5366
287,1582.4974
288,1579.1804
289,1575.5745
290,1571.7227
291,1567.7455
292,1563.8477
293,1560.2673
294,1557.1987
295,1554.6157
296,1552.2328
297,1549.6628
298,1546.7283
299,1543.586
300,1540.5416
301,1537.8009
302,1535.3805
303,1533.1669
304,1531.0076
305,1528.7765
306,1526.4065
307,1523.8931
308,1521.2842
309,1518.6509
310,1516.0529
311,1513.5055
312,1510.9695
313,1508.3838
314,1505.7069
315,1502.9811
316,1500.3678
317,1498.2197
318,1495.9481
319,1492.1046
320,1488.4343
321,1486.3987
322,1482.9943
323,1479.166
324,1476.6398
325,1472.9502
326,1469.1548
327,1466.215
328,1462.2452
329,1458.5486
330,1455.1432
331,1450.884
332,1447.0878
333,1443.1993
334,1438.8085
335,1434.826
336,1430.5085
337,1425.9241
338,1421.6207
339,1416.9893
340,1412.2095
341,1407.6252
342,1402.8022
343,1397.8314
344,1392.991
345,1388.0195
346,1382.8947
347,1377.8501
348,1372.8331
349,1367.6932
350,1362.5
351,1357.3605
352,1352.2277
353,1346.9978
354,1341.6755
355,1336.301
356,1330.8842
357,1325.3975
358,1319.8073
359,1314.1106
360,1308.2925
361,1302.4056
362,1296.442
363,1290.458
364,1284.4407
365,1278.4241
366,1272.4152
367,1266.435
368,1260.4894
369,1254.574
