,trend_loss
0,12328.158
1,12103.918
2,11889.57
3,11661.522
4,11399.274
5,11079.834
6,10678.716
7,10177.558
8,9580.16
9,8932.777
10,8300.931
11,7710.2715
12,7147.9043
13,6601.376
14,6070.2783
15,5560.0146
16,5076.448
17,4624.541
18,4209.14
19,3835.3867
20,3507.1997
21,3225.2908
22,2987.5642
23,2791.333
24,2634.6523
25,2515.8118
26,2432.1057
27,2379.1218
28,2350.896
29,2340.4873
30,2341.0254
31,2347.013
32,2354.9832
33,2363.2917
34,2371.417
35,2379.0872
36,2385.5374
37,2389.3652
38,2389.3054
39,2385.0574
40,2377.3105
41,2367.3289
42,2356.4895
43,2345.9185
44,2336.278
45,2327.7322
46,2320.0884
47,2313.0344
48,2306.3455
49,2299.9824
50,2294.0679
51,2288.7925
52,2284.3147
53,2280.691
54,2277.8677
55,2275.7173
56,2274.0974
57,2272.8972
58,2272.0588
59,2271.562
60,2271.3962
61,2271.532
62,2271.9043
63,2272.4163
64,2272.9583
65,2273.4314
66,2273.7695
67,2273.9456
68,2273.9663
69,2273.856
70,2273.6404
71,2273.3357
72,2272.9475
73,2272.4785
74,2271.9353
75,2271.3352
76,2270.7046
77,2270.0725
78,2269.4634
79,2268.8906
80,2268.358
81,2267.8606
82,2267.395
83,2266.9597
84,2266.5586
85,2266.195
86,2265.868
87,2265.5674
88,2265.2751
89,2264.9705
90,2264.6362
91,2264.2627
92,2263.8508
93,2263.4062
94,2262.9375
95,2262.4512
96,2261.9487
97,2261.4285
98,2260.8843
99,2260.3064
100,2259.6814
101,2258.9927
102,2258.2197
103,2257.34
104,2256.3262
105,2255.1482
106,2253.7737
107,2252.1865
108,2250.4268
109,2248.6438
110,2247.0713
111,2245.809
112,2244.669
113,2243.4546
114,2242.1406
115,2240.7573
116,2239.2974
117,2237.7224
118,2236.0159
119,2234.209
120,2232.3523
121,2230.4565
122,2228.4731
123,2226.3428
124,2224.0576
125,2221.6592
126,2219.1846
127,2216.661
128,2214.154
129,2211.7495
130,2209.4307
131,2207.0398
132,2204.4062
133,2201.5051
134,2198.4883
135,2195.5266
136,2192.635
137,2189.6987
138,2186.6455
139,2183.4766
140,2180.1707
141,2176.7104
142,2173.1711
143,2169.6365
144,2166.0718
145,2162.395
146,2158.583
147,2154.6248
148,2150.501
149,2146.2332
150,2141.7942
151,2137.0378
152,2131.855
153,2126.3386
154,2120.7808
155,2115.4287
156,2110.431
157,2106.108
158,2102.33
159,2099.0469
160,2096.022
161,2093.2524
162,2090.5369
163,2087.8975
164,2085.2139
165,2082.5798
166,2079.968
167,2077.437
168,2074.9487
169,2072.5178
170,2070.1362
171,2067.7778
172,2065.4368
173,2063.0898
174,2060.7168
175,2058.3484
176,2055.955
177,2053.6025
178,2051.3083
179,2049.1025
180,2046.9729
181,2044.9517
182,2043.0144
183,2041.1898
184,2039.4274
185,2037.7206
186,2036.0205
187,2034.3287
188,2032.6482
189,2030.9769
190,2029.3245
191,2027.669
192,2025.9977
193,2024.2872
194,2022.533
195,2020.6628
196,2018.6028
197,2016.2847
198,2019.5538
199,2037.835
200,2035.5052
201,2016.6687
202,2019.6259
203,2015.2334
204,2011.1326
205,2014.184
206,2014.9408
207,2012.6118
208,2009.0066
209,2007.1692
210,2008.3561
211,2008.0405
212,2005.0085
213,2003.3054
214,2003.1879
215,2002.9137
216,2001.6912
217,1999.7983
218,1998.1598
219,1997.5211
220,1997.1587
221,1995.8162
222,1994.1401
223,1993.1632
224,1992.5812
225,1991.6881
226,1990.3336
227,1988.948
228,1987.9553
229,1987.1345
230,1985.963
231,1984.5483
232,1983.3094
233,1982.237
234,1981.0525
235,1979.6324
236,1978.1088
237,1976.6542
238,1975.2291
239,1973.6562
240,1971.9342
241,1970.2357
242,1968.605
243,1966.8655
244,1964.8761
245,1962.7833
246,1960.7141
247,1958.4249
248,1956.1453
249,1953.3986
250,1950.666
251,1949.9524
252,1971.1047
253,1966.7986
254,1948.1375
255,2669.35
256,2604.0845
257,2517.8494
258,2435.096
259,2130.241
260,2126.0662
261,2134.3833
262,2130.8174
263,2126.5588
264,2127.2708
265,2134.5098
266,2139.8599
267,2130.203
268,2103.6301
269,2069.1826
270,2037.9724
271,2016.3182
272,2002.8544
273,1991.4724
274,1978.7928
275,1968.9525
276,1967.6884
277,1972.6371
278,1977.3269
279,1978.7567
280,1976.9443
281,1973.3011
282,1969.8328
283,1967.3768
284,1964.6332
285,1960.2911
286,1955.0457
287,1950.657
288,1947.9806
289,1946.534
290,1945.4923
291,1944.5659
292,1943.9875
293,1943.8595
294,1943.7764
295,1943.2616
296,1942.3162
297,1941.3135
298,1940.4843
299,1939.6692
300,1938.6014
301,1937.3093
302,1936.1246
303,1935.308
304,1934.7625
305,1934.1697
306,1933.3579
307,1932.4498
308,1931.6525
309,1930.9933
310,1930.3223
311,1929.5228
312,1928.6425
313,1927.8047
314,1927.0543
315,1926.3354
316,1925.5973
317,1924.8577
318,1924.1412
319,1923.4193
320,1922.6416
321,1921.8088
