,likelihood
0,286505.03125
1,202664.875
2,146319.375
3,107931.0078125
4,81605.7109375
5,63093.17578125
6,49820.64453125
7,40112.3125
8,32806.671875
9,27232.12109375
10,22915.71484375
11,19524.638671875
12,16851.74609375
13,14755.1416015625
14,13112.130859375
15,11821.3349609375
16,10790.7998046875
17,9953.4521484375
18,9260.5966796875
19,8680.6123046875
20,8191.23046875
21,7776.5205078125
22,7422.642578125
23,7117.16162109375
24,6850.3017578125
25,6613.88037109375
26,6401.927734375
27,6209.2392578125
28,6033.33056640625
29,5872.09130859375
30,5724.74951171875
31,5590.69775390625
32,5471.07373046875
33,5364.99609375
34,5273.59326171875
35,5195.0380859375
36,5129.21240234375
37,5073.71875
38,5026.6337890625
39,4985.5712890625
40,4947.98291015625
41,4912.04150390625
42,4876.2978515625
43,4839.38720703125
44,4801.69970703125
45,4763.10302734375
46,4724.67138671875
47,4686.77734375
48,4650.19384765625
49,4615.24853515625
50,4582.52587890625
51,4551.70751953125
52,4522.75
53,4495.09228515625
54,4468.53515625
55,4442.3330078125
56,4416.54248046875
57,4390.91943359375
58,4365.255859375
59,4339.2080078125
60,4313.34375
61,4287.7705078125
62,4262.45947265625
63,4237.609375
64,4213.24365234375
65,4189.5185546875
66,4166.12646484375
67,4143.31005859375
68,4120.57568359375
69,4098.3779296875
70,4076.106201171875
71,4054.17138671875
72,4032.065185546875
73,4010.19873046875
74,3988.513916015625
75,3967.07666015625
76,3945.673828125
77,3924.9765625
78,3904.04345703125
79,3883.480712890625
80,3863.33642578125
81,3843.5244140625
82,3823.922119140625
83,3804.485595703125
84,3785.2744140625
85,3766.1865234375
86,3747.1591796875
87,3728.556396484375
88,3709.76025390625
89,3691.33251953125
90,3673.109619140625
91,3654.942626953125
92,3637.01904296875
93,3619.271728515625
94,3601.67529296875
95,3584.262939453125
96,3566.97900390625
97,3549.936279296875
98,3532.808837890625
99,3516.1435546875
100,3499.3876953125
101,3482.935546875
102,3466.541015625
103,3450.345458984375
104,3434.203857421875
105,3418.227294921875
106,3402.44140625
107,3386.721923828125
108,3371.094482421875
109,3355.71533203125
110,3340.44091796875
111,3325.1689453125
112,3310.11767578125
113,3295.16015625
114,3280.443359375
115,3265.682861328125
116,3251.0556640625
117,3236.629638671875
118,3222.32568359375
119,3208.10546875
120,3193.93115234375
121,3179.974853515625
122,3166.168701171875
123,3152.294921875
124,3138.669677734375
125,3125.186767578125
126,3111.699462890625
127,3098.31201171875
128,3085.103271484375
129,3072.0087890625
130,3059.036376953125
131,3046.029052734375
132,3033.20556640625
133,3020.519287109375
134,3007.869140625
135,2995.388427734375
136,2982.97314453125
137,2970.62060546875
138,2958.3994140625
139,2946.314697265625
140,2934.24609375
141,2922.32373046875
142,2910.532958984375
143,2898.751953125
144,2887.05078125
145,2875.5068359375
146,2864.074951171875
147,2852.662353515625
148,2841.344970703125
149,2830.13427734375
150,2819.031005859375
151,2807.99267578125
152,2797.03271484375
153,2786.16015625
154,2775.36865234375
155,2764.802490234375
156,2754.0625
157,2743.5126953125
158,2732.993896484375
159,2722.57421875
160,2712.436767578125
161,2702.1845703125
162,2691.9853515625
163,2681.914794921875
164,2671.996337890625
165,2662.0146484375
166,2652.147216796875
167,2642.42333984375
168,2632.70263671875
169,2623.056884765625
170,2613.585205078125
171,2604.114013671875
172,2594.692138671875
173,2585.31884765625
