,trend_loss
0,12139.0205
1,11915.34
2,11701.983
3,11474.208
4,11211.605
5,10891.363
6,10489.45
7,9990.031
8,9403.003
9,8777.876
10,8173.118
11,7607.721
12,7067.891
13,6540.8193
14,6025.067
15,5525.303
16,5046.9214
17,4595.828
18,4180.71
19,3811.8445
20,3496.141
21,3232.716
22,3015.0837
23,2837.2966
24,2696.1213
25,2589.847
26,2516.2988
27,2471.2852
28,2449.1516
29,2444.0767
30,2450.275
31,2462.3726
32,2475.9763
33,2488.0764
34,2497.0645
35,2502.4458
36,2504.45
37,2503.6504
38,2500.6616
39,2495.9482
40,2489.7778
41,2482.3057
42,2473.7207
43,2464.354
44,2454.6892
45,2445.2869
46,2436.6663
47,2429.192
48,2423.0037
49,2418.0117
50,2413.949
51,2410.476
52,2407.293
53,2404.218
54,2401.2183
55,2398.374
56,2395.82
57,2393.6758
58,2391.997
59,2390.76
60,2389.8823
61,2389.2585
62,2388.8015
63,2388.4656
64,2388.2449
65,2388.156
66,2388.209
67,2388.3877
68,2388.6416
69,2388.8972
70,2389.0767
71,2389.121
72,2389.0056
73,2388.74
74,2388.3596
75,2387.9097
76,2387.4312
77,2386.9512
78,2386.485
79,2386.041
80,2385.627
81,2385.2566
82,2384.9463
83,2384.7122
84,2384.5635
85,2384.498
86,2384.5015
87,2384.5527
88,2384.6287
89,2384.709
90,2384.7803
91,2384.8367
92,2384.875
93,2384.8958
94,2384.898
95,2384.8804
96,2384.843
97,2384.7876
98,2384.7192
99,2384.6443
100,2384.57
101,2384.5032
102,2384.4482
103,2384.4053
104,2384.3733
105,2384.3506
106,2384.335
107,2384.3252
108,2384.3196
109,2384.3179
110,2384.3184
111,2384.3193
112,2384.3188
113,2384.3154
114,2384.3088
115,2384.2993
116,2384.2874
117,2384.2744
118,2384.2612
119,2384.248
120,2384.2341
121,2384.2212
122,2384.2085
123,2384.1956
124,2384.1838
125,2384.1724
126,2384.162
127,2384.1519
128,2384.142
129,2384.132
130,2384.1223
131,2384.112
132,2384.1016
133,2384.0913
134,2384.081
135,2384.0708
136,2384.0605
137,2384.05
138,2384.039
139,2384.028
140,2384.0166
141,2384.0056
142,2383.9941
143,2383.9822
144,2383.9705
145,2383.958
146,2383.9456
147,2383.9329
148,2383.9197
149,2383.9067
150,2383.8936
151,2383.8804
152,2383.8667
153,2383.853
154,2383.8389
155,2383.825
156,2383.8105
157,2383.796
158,2383.7808
159,2383.7654
160,2383.7498
161,2383.7336
162,2383.7173
163,2383.7004
164,2383.6833
165,2383.6658
166,2383.6475
167,2383.6292
168,2383.6106
169,2383.5913
170,2383.5715
171,2383.5513
172,2383.5305
173,2383.5093
174,2383.4873
175,2383.465
176,2383.442
177,2383.4185
178,2383.394
179,2383.369
180,2383.3428
181,2383.3164
182,2383.289
183,2383.2605
184,2383.231
185,2383.201
186,2383.1694
187,2383.1372
188,2383.1033
189,2383.0686
190,2383.0327
191,2382.9949
192,2382.956
193,2382.9155
194,2382.873
195,2382.8296
196,2382.7834
197,2382.7356
198,2382.6855
199,2382.6333
200,2382.5786
201,2382.521
202,2382.4607
203,2382.3975
204,2382.3308
205,2382.2605
206,2382.1865
207,2382.1084
208,2382.0256
209,2381.9382
210,2381.8452
211,2381.747
212,2381.6426
213,2381.5315
214,2381.4133
215,2381.287
216,2381.1526
217,2381.009
218,2380.8555
219,2380.6917
220,2380.516
221,2380.3286
222,2380.1277
223,2379.913
224,2379.6838
225,2379.4387
226,2379.1777
227,2378.8997
228,2378.604
229,2378.291
230,2377.9602
231,2377.6113
232,2377.2449
233,2376.8616
234,2376.4617
235,2376.0461
236,2375.616
237,2375.1714
238,2374.7136
239,2374.2427
240,2373.7588
241,2373.262
242,2372.7505
243,2372.2246
244,2371.6821
245,2371.1213
246,2370.5393
247,2369.9348
248,2369.3042
249,2368.645
250,2367.9546
251,2367.2297
252,2366.4678
253,2365.667
254,2364.8237
255,2363.936
256,2363.0022
257,2362.0203
258,2360.988
259,2359.9045
260,2358.768
261,2357.5774
262,2356.3298
263,2355.0247
264,2353.6594
265,2352.232
266,2350.7402
267,2349.182
268,2347.5547
269,2345.8567
270,2344.087
271,2342.2449
272,2340.33
273,2338.3442
274,2336.291
275,2334.1724
276,2331.9937
277,2329.7595
278,2327.4749
279,2325.144
280,2322.771
281,2320.358
282,2317.9065
283,2315.4158
284,2312.885
285,2310.3113
286,2307.6912
287,2305.0203
288,2302.294
289,2299.5066
290,2296.6533
291,2293.7292
292,2290.7295
293,2287.6504
294,2284.4888
295,2281.243
296,2277.9114
297,2274.4934
298,2270.9883
299,2267.3948
300,2263.7117
301,2259.937
302,2256.068
303,2252.101
304,2248.0312
305,2243.8533
306,2239.561
307,2235.1484
308,2230.6084
309,2225.9333
310,2221.1162
311,2216.1487
312,2211.024
313,2205.734
314,2200.2727
315,2194.6338
316,2188.8137
317,2182.8098
318,2176.6216
319,2170.251
320,2163.7024
321,2156.9802
322,2150.0916
323,2143.0435
324,2135.8438
325,2128.5007
326,2121.021
327,2113.409
328,2105.6653
329,2097.7842
330,2089.7527
331,2081.5476
332,2073.1323
333,2064.4578
334,2055.4617
335,2046.0718
336,2036.216
337,2025.838
338,2014.9211
339,2003.5176
340,1991.7703
341,1979.9098
342,1968.2004
343,1956.8362
344,1945.8441
345,1935.0734
346,1924.2764
347,1913.2253
348,1901.7864
349,1889.9344
350,1877.7308
351,1865.287
352,1852.7288
353,1840.1703
354,1827.6969
355,1815.3644
356,1803.2114
357,1791.2814
358,1779.6405
359,1768.3857
360,1757.6309
361,1747.4846
362,1738.0171
363,1729.251
364,1721.1567
365,1713.6832
366,1706.7582
