,likelihood
0,26697.337890625
1,22344.77734375
2,18925.380859375
3,16157.6171875
4,13878.5361328125
5,11993.0693359375
6,10432.4599609375
7,9137.556640625
8,8057.4814453125
9,7149.0078125
10,6379.0009765625
11,5725.3642578125
12,5178.37646484375
13,4733.02587890625
14,4361.36474609375
15,4029.853515625
16,3747.75830078125
17,3519.64697265625
18,3321.29150390625
19,3137.082275390625
20,2967.907958984375
21,2818.79638671875
22,2690.227783203125
23,2576.801513671875
24,2473.06396484375
25,2377.571533203125
26,2291.15771484375
27,2213.775634765625
28,2143.842041015625
29,2079.3984375
30,2018.979736328125
31,1961.9049072265625
32,1908.0361328125
33,1857.459228515625
34,1810.26123046875
35,1766.2972412109375
36,1725.1990966796875
37,1686.55517578125
38,1650.0458984375
39,1615.5828857421875
40,1583.176513671875
41,1552.802490234375
42,1524.39404296875
43,1497.707275390625
44,1472.5118408203125
45,1448.5794677734375
46,1425.740234375
47,1403.9178466796875
48,1383.0819091796875
49,1363.201416015625
50,1344.2489013671875
51,1326.1171875
52,1308.738037109375
53,1292.011474609375
54,1275.9022216796875
55,1260.3779296875
56,1245.434326171875
57,1231.072021484375
58,1217.24951171875
59,1203.9337158203125
60,1191.0791015625
61,1178.6263427734375
62,1166.5540771484375
63,1154.834716796875
64,1143.4599609375
65,1132.41064453125
66,1121.6751708984375
67,1111.2275390625
68,1101.04443359375
69,1091.099853515625
70,1081.385986328125
71,1071.8946533203125
72,1062.621826171875
73,1053.55810546875
74,1044.7010498046875
75,1036.040771484375
76,1027.562744140625
77,1019.2616577148438
78,1011.1264038085938
79,1003.15185546875
80,995.3384399414062
81,987.6815795898438
82,980.171875
83,972.8026123046875
84,965.5701904296875
85,958.4734497070312
86,951.4956665039062
87,944.6451416015625
88,937.9137573242188
89,931.3002319335938
90,924.7992553710938
91,918.4097900390625
92,912.1295776367188
93,905.9539184570312
94,899.8789672851562
95,893.9049072265625
96,888.0291748046875
97,882.2513427734375
98,876.5667114257812
99,870.9741821289062
100,865.4677734375
101,860.0509643554688
102,854.7218627929688
103,849.4761352539062
104,844.3126831054688
105,839.2288818359375
106,834.221923828125
107,829.2952270507812
108,824.443115234375
109,819.6703491210938
110,814.9642944335938
111,810.3336181640625
112,805.767578125
113,801.2789306640625
114,796.8539428710938
115,792.4943237304688
116,788.203369140625
117,783.9763793945312
118,779.8110961914062
119,775.707275390625
120,771.6685791015625
121,767.6873168945312
122,763.7614135742188
123,759.9002075195312
124,756.09326171875
125,752.343505859375
126,748.6494140625
127,745.006591796875
128,741.4191284179688
129,737.8854370117188
130,734.4046630859375
131,730.9758911132812
132,727.5936889648438
133,724.2619018554688
134,720.9810180664062
135,717.7442626953125
136,714.5609741210938
137,711.4203491210938
138,708.3262329101562
139,705.273681640625
140,702.2711791992188
141,699.3084716796875
142,696.390625
143,693.5155029296875
144,690.6835327148438
145,687.8896484375
146,685.1417236328125
147,682.430419921875
148,679.7568969726562
149,677.1259155273438
150,674.5272216796875
151,671.9736328125
152,669.4536743164062
153,666.9696044921875
154,664.5221557617188
155,662.1117553710938
156,659.733154296875
157,657.3927001953125
158,655.0839233398438
159,652.80908203125
160,650.56689453125
161,648.3576049804688
162,646.176513671875
163,644.0340576171875
164,641.9176025390625
165,639.8318481445312
166,637.7770385742188
167,635.7526245117188
168,633.757080078125
169,631.7920532226562
170,629.8501586914062
171,627.9418334960938
172,626.0562744140625
173,624.198974609375
174,622.3683471679688
175,620.5640869140625
176,618.7864990234375
177,617.0337524414062
178,615.3067626953125
179,613.6013793945312
180,611.9197387695312
181,610.265869140625
182,608.6323852539062
183,607.0216064453125
184,605.4349365234375
185,603.8695068359375
186,602.3264770507812
187,600.80224609375
188,599.3027954101562
189,597.8214111328125
190,596.3624877929688
191,594.9215698242188
192,593.500732421875
193,592.1005249023438
194,590.720703125
195,589.357421875
196,588.009765625
197,586.68359375
198,585.3759765625
199,584.0859985351562
200,582.8095703125
201,581.5543212890625
202,580.3120727539062
203,579.0895385742188
204,577.8816528320312
205,576.6868896484375
206,575.5107421875
207,574.3489990234375
208,573.2008666992188
209,572.0692749023438
210,570.9520263671875
211,569.849365234375
212,568.75927734375
213,567.6837158203125
214,566.6197509765625
215,565.5709838867188
216,564.5364990234375
217,563.5112915039062
218,562.5023193359375
219,561.5018920898438
220,560.5146484375
221,559.5430908203125
222,558.5781860351562
223,557.6251831054688
224,556.6863403320312
225,555.7582397460938
226,554.8394165039062
227,553.9313354492188
228,553.0347290039062
229,552.1481323242188
230,551.2706909179688
231,550.4046020507812
232,549.5466918945312
233,548.7007446289062
234,547.8621215820312
235,547.0324096679688
236,546.2147216796875
237,545.4026489257812
238,544.601318359375
239,543.8084716796875
240,543.0231323242188
241,542.2476806640625
242,541.479736328125
243,540.719970703125
244,539.9676513671875
245,539.2235107421875
246,538.4874877929688
247,537.7584228515625
248,537.0353393554688
249,536.3222045898438
250,535.61474609375
251,534.9137573242188
252,534.2207641601562
253,533.53515625
254,532.8554077148438
255,532.1826782226562
256,531.5140991210938
257,530.8546752929688
258,530.2003784179688
259,529.55322265625
260,528.91162109375
261,528.2750244140625
262,527.6451416015625
263,527.0198364257812
264,526.40185546875
265,525.7886352539062
266,525.179443359375
267,524.5786743164062
268,523.9808349609375
