,trend_loss
0,11968.839
1,11746.254
2,11533.977
3,11305.833
4,11041.499
5,10718.111
6,10311.566
7,9807.136
8,9218.466
9,8599.345
10,8007.5806
11,7457.3066
12,6932.0933
13,6419.0615
14,5916.778
15,5429.368
16,4961.4443
17,4518.683
18,4110.6587
19,3749.3823
20,3443.5598
21,3193.5474
22,2993.3555
23,2837.2498
24,2721.215
25,2641.0984
26,2591.7703
27,2567.5066
28,2562.3887
29,2570.441
30,2585.7573
31,2602.894
32,2617.5952
33,2627.3464
34,2631.3596
35,2630.1318
36,2624.8777
37,2617.0137
38,2607.7664
39,2597.9553
40,2587.9836
41,2577.9912
42,2568.0732
43,2558.4246
44,2549.3623
45,2541.2437
46,2534.348
47,2528.7837
48,2524.445
49,2521.0405
50,2518.179
51,2515.4844
52,2512.6978
53,2509.7344
54,2506.679
55,2503.7266
56,2501.103
57,2498.9858
58,2497.457
59,2496.4932
60,2495.99
61,2495.8086
62,2495.8215
63,2495.939
64,2496.1138
65,2496.3252
66,2496.5542
67,2496.7666
68,2496.9072
69,2496.9119
70,2496.7266
71,2496.3289
72,2495.7368
73,2495.0051
74,2494.2104
75,2493.43
76,2492.7253
77,2492.1316
78,2491.6584
79,2491.2983
80,2491.0369
81,2490.86
82,2490.757
83,2490.7185
84,2490.733
85,2490.7817
86,2490.842
87,2490.8896
88,2490.9019
89,2490.8665
90,2490.779
91,2490.6465
92,2490.4797
93,2490.291
94,2490.091
95,2489.8857
96,2489.6785
97,2489.4722
98,2489.268
99,2489.0679
100,2488.8738
101,2488.6855
102,2488.5017
103,2488.3174
104,2488.1262
105,2487.9236
106,2487.704
107,2487.465
108,2487.2058
109,2486.9258
110,2486.6248
111,2486.3025
112,2485.957
113,2485.5884
114,2485.1946
115,2484.7754
116,2484.33
117,2483.859
118,2483.3599
119,2482.8323
120,2482.2747
121,2481.6848
122,2481.0608
123,2480.401
124,2479.7046
125,2478.9697
126,2478.1946
127,2477.378
128,2476.516
129,2475.608
130,2474.649
131,2473.6382
132,2472.572
133,2471.4482
134,2470.265
135,2469.02
136,2467.7124
137,2466.3403
138,2464.9026
139,2463.3982
140,2461.8252
141,2460.1816
142,2458.4639
143,2456.6692
144,2454.795
145,2452.838
146,2450.796
147,2448.667
148,2446.449
149,2444.1404
150,2441.7385
151,2439.2412
152,2436.646
153,2433.9497
154,2431.1504
155,2428.2458
156,2425.233
157,2422.1096
158,2418.873
159,2415.5217
160,2412.0518
161,2408.4612
162,2404.7456
163,2400.9014
164,2396.9243
165,2392.8105
166,2388.556
167,2384.155
168,2379.6025
169,2374.8926
170,2370.018
171,2364.971
172,2359.742
173,2354.323
174,2348.704
175,2342.8748
176,2336.8242
177,2330.5425
178,2324.02
179,2317.2495
180,2310.226
