,trend_loss
0,12095.168
1,11871.577
2,11658.357
3,11430.408
4,11167.32
5,10846.263
6,10443.221
7,9942.712
8,9355.759
9,8733.173
10,8132.878
11,7572.4746
12,7037.655
13,6515.4863
14,6004.364
15,5508.7173
16,5033.6045
17,4584.714
18,4171.0293
19,3803.6028
20,3489.9365
21,3229.3042
22,3015.1216
23,2841.5127
24,2705.7278
25,2606.564
26,2541.554
27,2505.0383
28,2489.663
29,2488.5867
30,2495.5952
31,2505.3733
32,2514.206
33,2520.2437
34,2523.14
35,2523.4006
36,2521.8035
37,2519.0244
38,2515.4739
39,2511.2732
40,2506.3494
41,2500.583
42,2493.9602
43,2486.6465
44,2478.9802
45,2471.3875
46,2464.2678
47,2457.9004
48,2452.384
49,2447.6426
50,2443.4805
51,2439.6729
52,2436.0498
53,2432.5537
54,2429.2366
55,2426.2239
56,2423.6536
57,2421.6199
58,2420.1416
59,2419.1624
60,2418.5747
61,2418.2615
62,2418.1274
63,2418.1174
64,2418.2095
65,2418.3977
66,2418.6687
67,2418.989
68,2419.3005
69,2419.5366
70,2419.639
71,2419.573
72,2419.3396
73,2418.9673
74,2418.5024
75,2417.994
76,2417.481
77,2416.989
78,2416.5312
79,2416.1143
80,2415.7456
81,2415.4365
82,2415.1973
83,2415.0374
84,2414.957
85,2414.9468
86,2414.9888
87,2415.0603
88,2415.1409
89,2415.2144
90,2415.2717
91,2415.31
92,2415.329
93,2415.33
94,2415.3137
95,2415.28
96,2415.23
97,2415.1672
98,2415.0962
99,2415.024
100,2414.9568
101,2414.8987
102,2414.852
103,2414.8167
104,2414.7896
105,2414.77
106,2414.7554
107,2414.7449
108,2414.7383
109,2414.7332
110,2414.7297
111,2414.7256
112,2414.7202
113,2414.712
114,2414.7007
115,2414.6873
116,2414.6726
117,2414.6575
118,2414.6418
119,2414.6262
120,2414.6106
121,2414.5945
122,2414.5789
123,2414.5632
124,2414.5483
125,2414.5337
126,2414.5195
127,2414.5056
128,2414.492
129,2414.4783
130,2414.4644
131,2414.4502
132,2414.4363
133,2414.4219
134,2414.408
135,2414.3936
136,2414.3792
137,2414.3643
138,2414.3494
139,2414.3337
140,2414.318
141,2414.302
142,2414.2861
143,2414.269
144,2414.2524
145,2414.2349
146,2414.2173
147,2414.1992
148,2414.1814
149,2414.1633
150,2414.1443
151,2414.1257
152,2414.1067
153,2414.0872
154,2414.0676
155,2414.0474
156,2414.0269
157,2414.006
158,2413.985
159,2413.9631
160,2413.941
161,2413.9185
162,2413.895
163,2413.871
164,2413.8472
165,2413.8223
166,2413.7969
167,2413.771
168,2413.7446
169,2413.7175
170,2413.69
171,2413.6616
