,likelihood
0,28874.50390625
1,24268.947265625
2,20627.623046875
3,17685.22265625
4,15265.431640625
5,13250.21875
6,11565.77734375
7,10160.2236328125
8,8991.0810546875
9,8020.919921875
10,7216.16796875
11,6546.6630859375
12,5986.20166015625
13,5512.58935546875
14,5107.857421875
15,4757.87255859375
16,4451.88720703125
17,4181.7998046875
18,3941.551025390625
19,3726.60986328125
20,3533.4501953125
21,3359.27783203125
22,3201.819580078125
23,3059.101806640625
24,2929.431396484375
25,2811.2685546875
26,2703.235595703125
27,2604.1484375
28,2512.921875
29,2428.676025390625
30,2350.593017578125
31,2278.051513671875
32,2210.512939453125
33,2147.530517578125
34,2088.721435546875
35,2033.7545166015625
36,1982.3448486328125
37,1934.2376708984375
38,1889.1920166015625
39,1846.9677734375
40,1807.3712158203125
41,1770.1683349609375
42,1735.1849365234375
43,1702.2362060546875
44,1671.1485595703125
45,1641.76220703125
46,1613.9302978515625
47,1587.5306396484375
48,1562.42236328125
49,1538.5146484375
50,1515.7017822265625
51,1493.8973388671875
52,1473.0267333984375
53,1453.0201416015625
54,1433.8160400390625
55,1415.3514404296875
56,1397.591552734375
57,1380.47314453125
58,1363.967041015625
59,1348.0330810546875
60,1332.63232421875
61,1317.7354736328125
62,1303.314697265625
63,1289.341552734375
64,1275.78955078125
65,1262.640625
66,1249.8564453125
67,1237.4342041015625
68,1225.3494873046875
69,1213.5743408203125
70,1202.107666015625
71,1190.931884765625
72,1180.024658203125
73,1169.380126953125
74,1158.985107421875
75,1148.8265380859375
76,1138.9002685546875
77,1129.1953125
78,1119.697509765625
79,1110.4039306640625
80,1101.31103515625
81,1092.40380859375
82,1083.6795654296875
83,1075.1297607421875
84,1066.7529296875
85,1058.5426025390625
86,1050.4913330078125
87,1042.5928955078125
88,1034.8458251953125
89,1027.24658203125
90,1019.7850341796875
91,1012.46533203125
92,1005.2792358398438
93,998.2197875976562
94,991.2840576171875
95,984.4781494140625
96,977.78662109375
97,971.2146606445312
98,964.7550048828125
99,958.4058227539062
100,952.16748046875
101,946.0317993164062
102,940.00244140625
103,934.0714111328125
104,928.2429809570312
105,922.5059814453125
106,916.8685302734375
107,911.3221435546875
108,905.86474609375
109,900.49658203125
110,895.2180786132812
111,890.0238647460938
112,884.9122924804688
113,879.8786010742188
114,874.9301147460938
115,870.0581665039062
116,865.2650756835938
117,860.5475463867188
118,855.9014892578125
119,851.3294067382812
120,846.8302001953125
121,842.3980712890625
122,838.035400390625
123,833.7423095703125
124,829.51611328125
125,825.3524780273438
126,821.2533569335938
127,817.2186889648438
128,813.2462768554688
129,809.3319702148438
130,805.4808959960938
131,801.6826782226562
132,797.94580078125
133,794.2685546875
134,790.641357421875
135,787.0723876953125
136,783.5545654296875
137,780.0895385742188
138,776.6792602539062
139,773.31787109375
140,770.0086059570312
141,766.7454223632812
142,763.5325927734375
143,760.3673706054688
144,757.248291015625
145,754.1767578125
146,751.1513061523438
147,748.1714477539062
148,745.2327880859375
149,742.3364868164062
150,739.4849243164062
151,736.6740112304688
152,733.9070434570312
153,731.1788940429688
154,728.4910278320312
155,725.8389892578125
156,723.2284545898438
157,720.6541748046875
158,718.1199951171875
159,715.622314453125
160,713.1558227539062
161,710.7276611328125
162,708.3334350585938
163,705.9736938476562
164,703.649658203125
165,701.3580322265625
166,699.1007080078125
167,696.8712158203125
168,694.674560546875
169,692.5128173828125
170,690.3787231445312
171,688.2733154296875
172,686.1992797851562
173,684.1513671875
174,682.135009765625
175,680.1434936523438
176,678.1840209960938
177,676.248779296875
178,674.3399658203125
179,672.458984375
180,670.6017456054688
181,668.7725219726562
182,666.96728515625
183,665.1842041015625
184,663.42724609375
185,661.697509765625
186,659.985595703125
187,658.2968139648438
188,656.630859375
189,654.9890747070312
190,653.3670043945312
191,651.767822265625
192,650.1886596679688
193,648.6317749023438
194,647.0945434570312
195,645.5741577148438
196,644.0772705078125
197,642.5962524414062
198,641.1345825195312
199,639.69482421875
200,638.2713623046875
201,636.8643798828125
202,635.4761352539062
203,634.1050415039062
204,632.7515869140625
205,631.4157104492188
206,630.0957641601562
207,628.7882690429688
208,627.5006103515625
209,626.2294921875
210,624.969970703125
211,623.728759765625
212,622.4987182617188
213,621.2879028320312
214,620.0880737304688
215,618.9011840820312
216,617.729248046875
217,616.574462890625
218,615.4296264648438
219,614.2982788085938
220,613.1799926757812
221,612.0738525390625
222,610.9811401367188
