,trend_loss
0,10945.887
1,10686.926
2,10395.41
3,10040.688
4,9585.734
5,9010.722
6,8367.848
7,7743.554
8,7172.215
9,6641.593
10,6136.8604
11,5657.075
12,5207.7104
13,4792.9263
14,4414.7144
15,4074.5122
16,3773.6707
17,3513.0896
18,3292.8691
19,3111.9568
20,2967.6108
21,2854.9944
22,2768.0916
23,2701.5632
24,2651.4768
25,2614.9043
26,2589.4585
27,2573.0454
28,2563.7139
29,2559.5454
30,2558.63
31,2559.1807
32,2559.7595
33,2559.4653
34,2557.977
35,2555.4375
36,2552.2454
37,2548.8481
38,2545.5713
39,2542.5398
40,2539.6846
41,2536.8286
42,2533.7983
43,2530.5112
44,2527.001
45,2523.3901
46,2519.8289
47,2516.4287
48,2513.2249
49,2510.1655
50,2507.142
51,2504.0405
52,2500.794
53,2497.4153
54,2494.0002
55,2490.6978
56,2487.6677
57,2485.037
58,2482.8738
59,2481.1821
60,2479.9182
61,2479.014
62,2478.4043
63,2478.0374
64,2477.876
65,2477.888
66,2478.0342
67,2478.2595
68,2478.497
69,2478.6753
70,2478.7322
71,2478.6282
72,2478.3489
73,2477.9026
74,2477.3137
75,2476.6091
76,2475.8123
77,2474.9397
78,2474.0015
79,2473.0063
80,2471.9634
81,2470.8838
82,2469.7793
83,2468.6594
84,2467.5256
85,2466.3752
86,2465.2002
87,2463.9924
88,2462.7466
89,2461.4646
90,2460.1526
91,2458.8203
92,2457.478
93,2456.1318
94,2454.7822
95,2453.4211
96,2452.0317
97,2450.5862
98,2449.0425
99,2447.3418
100,2445.4077
101,2443.1514
102,2440.4844
103,2437.347
104,2433.7256
105,2429.6382
106,2425.067
107,2419.898
108,2413.9912
109,2407.2449
110,2399.2427
111,2389.156
112,2376.3604
113,2358.7092
114,2334.1262
115,2300.8545
116,2269.6345
117,2197.5696
118,2163.3633
119,2105.086
120,2073.0657
121,2074.1113
122,2160.7434
123,2130.4878
124,2480.7383
125,2571.5605
126,2529.0557
127,2365.8708
128,2121.9744
129,2045.7106
130,2049.3296
131,2143.1052
132,2161.8572
133,2071.3433
134,1966.6138
135,1917.5846
136,1934.7109
137,1973.081
138,1994.28
139,1986.1866
140,1950.7905
141,1899.1285
142,1850.4036
143,1824.3032
144,1822.9106
145,1828.5468
146,1821.5598
147,1795.9526
148,1762.4802
149,1738.8159
150,1732.5269
151,1733.376
152,1726.4939
153,1706.2682
154,1679.9901
155,1661.5582
156,1655.9882
157,1654.2789
158,1647.5369
159,1634.2329
160,1619.1315
161,1608.0201
162,1602.948
163,1600.114
164,1593.7161
165,1583.216
166,1573.2535
167,1567.0173
168,1563.7864
169,1561.2927
170,1557.7827
171,1553.1558
172,1548.6794
173,1545.5466
174,1543.834
175,1542.6129
176,1540.8561
177,1538.278
178,1535.4171
179,1533.0803
180,1531.6918
181,1530.8878
182,1529.7645
183,1527.8555
184,1525.6354
185,1523.794
186,1522.4211
187,1521.0701
188,1519.3224
189,1517.1798
190,1515.0015
191,1513.1106
192,1511.4678
193,1509.7527
194,1507.764
195,1505.6254
196,1503.5798
197,1501.699
198,1499.8531
199,1497.8912
200,1495.805
201,1493.72
202,1491.7518
203,1489.8923
204,1488.0466
205,1486.1575
206,1484.2666
207,1482.4523
208,1480.7332
209,1479.0536
210,1477.3538
211,1475.6367
212,1473.9504
213,1472.3193
214,1470.7117
215,1469.0789
216,1467.4066
217,1465.72
218,1464.0393
219,1462.3539
220,1460.6401
221,1458.8953
222,1457.1409
223,1455.3964
224,1453.6592
225,1451.9144
226,1450.1584
227,1448.4006
228,1446.6487
229,1444.8951
230,1443.1265
231,1441.337
232,1439.5316
233,1437.7128
234,1435.8745
235,1434.0094
236,1432.1157
237,1430.1982
238,1428.2588
239,1426.2943
240,1424.3014
241,1422.2805
242,1420.2352
243,1418.1643
244,1416.0647
245,1413.9331
246,1411.7693
247,1409.5745
248,1407.3463
249,1405.0828
250,1402.7823
251,1400.4463
252,1398.0752
253,1395.6675
254,1393.2229
255,1390.7417
256,1388.2246
257,1385.6711
258,1383.0802
259,1380.4513
260,1377.7844
261,1375.0786
262,1372.3325
263,1369.5448
264,1366.7142
265,1363.8391
266,1360.9169
267,1357.9441
268,1354.9174
269,1351.8322
270,1348.6827
271,1345.462
272,1342.1626
273,1338.7764
274,1335.2953
275,1331.7124
276,1328.0247
277,1324.231
278,1320.3323
279,1316.3263
280,1312.2023
281,1307.9421
282,1303.5262
283,1298.9478
284,1294.2146
285,1289.3395
286,1284.3251
287,1279.1453
288,1273.74
289,1268.053
290,1262.1096
291,1256.0359
292,1249.946
293,1243.7968
294,1237.4316
295,1230.7958
296,1224.0792
297,1217.6296
298,1211.6443
299,1206.011
300,1200.5491
301,1195.2621
302,1190.3916
303,1186.7521
304,1184.8922
305,1179.115
306,1174.2405
307,1173.2625
308,1168.3479
309,1164.5835
310,1163.1387
311,1158.271
312,1155.582
313,1152.9261
314,1148.6927
315,1146.7266
316,1143.3236
317,1140.2394
318,1137.9891
319,1134.4901
320,1132.2101
321,1129.5682
322,1126.4668
323,1124.2854
324,1121.3138
325,1118.5706
326,1116.1859
327,1113.1915
328,1110.7461
329,1108.1505
330,1105.3094
331,1102.9141
332,1100.2014
333,1097.5305
334,1095.1141
335,1092.4095
336,1089.7561
337,1087.2998
338,1084.7039
339,1081.977
340,1079.3549
341,1076.836
342,1074.3007
343,1071.7263
344,1069.1101
345,1066.5181
346,1063.961
347,1061.612
348,1059.7897
349,1059.2825
350,1059.8516
351,1055.3214
352,1048.0249
353,1046.4481
354,1045.0367
355,1039.4869
356,1036.8136
357,1035.8942
358,1031.5134
359,1027.4055
360,1026.4084
361,1022.9798
362,1018.42706
363,1016.975
364,1014.0864
365,1009.3684
366,1007.3513
367,1004.80817
368,1000.0883
369,997.49133
370,995.3307
371,990.90985
372,987.1685
373,984.86584
374,982.1821
375,978.795
376,974.48706
377,970.67535
378,967.6597
379,964.8826
380,962.2061
381,959.2056
382,957.1861
383,954.61304
384,953.2949
385,946.75354
386,940.70825
387,937.8916
388,936.0682
389,933.2799
390,927.5569
391,922.86285
392,919.1465
393,916.3271
394,914.7396
395,912.90454
396,913.9033
397,905.4077
398,898.6989
399,897.25665
400,894.1241
401,888.8222
402,883.6551
403,881.41833
404,883.22107
405,884.7715
406,903.3225
407,870.2589
408,886.49414
409,874.8004
410,872.47687
411,866.79694
412,858.482
413,859.05115
414,847.0589
415,855.36536
416,840.1157
417,839.0277
418,837.4781
419,825.83716
420,826.95135
421,819.88434
422,818.3331
423,814.33386
424,809.80414
425,808.45593
426,801.91034
427,800.9972
428,795.8787
429,792.5964
430,790.38904
431,785.25085
432,783.521
433,779.78503
434,775.8351
435,773.83813
436,769.53064
437,766.3408
438,764.12006
439,760.1298
440,756.8938
441,754.48364
442,750.79944
443,747.65063
444,745.21655
445,741.94116
446,738.5096
447,735.82715
448,733.3442
449,730.384
450,727.05414
451,724.0657
452,721.5457
453,719.05457
454,716.4607
455,713.72076
456,710.78723
457,707.66534
458,704.6498
459,702.1122
460,700.1724
461,699.31525
462,700.7438
463,696.7623
464,690.89154
465,688.74084
466,688.6008
467,689.67694
468,682.80115
469,678.6984
470,674.91797
471,673.71045
472,673.2744
473,670.9425
474,670.72144
475,665.51447
476,662.5822
477,662.4818
478,658.8783
479,655.83875
480,651.9648
481,650.401
482,639.27576
483,640.18164
484,1780.8809
485,1675.3105
486,1537.6196
487,1385.703
488,1260.5061
489,1172.6183
490,1116.2885
491,1080.9265
492,1053.7758
493,1029.5668
494,1021.3862
495,1336.2234
496,1982.1777
497,2392.8245
498,2167.213
499,1728.3251
500,1376.7379
501,1290.855
502,1616.881
503,1434.4604
504,1068.0444
505,1142.7405
506,1290.378
507,1344.372
508,1277.3047
509,1138.1924
510,1028.8744
511,1034.2944
512,1123.1477
513,1139.2112
514,1052.2963
515,973.4343
516,959.3218
517,994.9223
518,1010.8323
519,1001.0847
520,968.93225
521,935.7637
522,920.78687
523,921.2699
524,911.3083
525,893.866
526,879.1796
527,851.5431
528,830.5094
529,844.06696
530,832.28516
531,832.7424
532,816.1996
533,801.52246
534,796.25256
535,796.3779
536,795.5613
537,788.23
538,774.9635
539,764.52844
540,762.14606
541,759.88654
542,750.3574
543,738.77795
544,732.5167
545,729.2495
546,725.2571
547,719.727
548,713.26764
549,707.49915
550,704.18604
551,701.4627
552,696.01025
553,689.3323
554,684.2151
555,680.1152
556,675.67474
557,670.225
558,664.35315
559,659.7854
560,656.2919
561,651.438
562,646.0974
563,641.9841
564,638.0787
565,633.3286
566,628.38605
567,624.3555
568,620.9321
569,617.12994
570,613.43
571,610.3821
572,607.46875
573,604.2246
574,600.8273
575,597.7079
576,594.7459
577,591.49774
578,588.335
579,585.55237
580,582.7481
581,579.79846
582,577.11206
583,574.5206
584,571.7096
585,569.161
586,566.666
587,564.0159
588,561.55365
589,559.0661
590,556.4886
591,554.08276
592,551.61676
593,549.148
594,546.7916
595,544.33984
596,541.9271
597,539.55634
598,537.129
599,534.7901
600,532.4352
601,530.07666
602,527.7639
603,525.39233
604,523.063
605,520.6914
606,518.3263
607,515.9661
608,513.5737
609,511.2118
610,508.81628
611,506.4558
612,504.09076
613,501.75717
614,499.44037
615,497.14484
616,494.8808
617,492.63455
