,trend_loss
0,12226.334
1,12002.621
2,11789.146
3,11561.807
4,11300.188
5,10981.462
6,10581.402
7,10082.952
8,9492.943
9,8858.635
10,8241.496
11,7663.996
12,7113.117
13,6576.2017
14,6052.054
15,5545.5547
16,5062.4575
17,4608.6055
18,4191.2627
19,3818.6177
20,3496.5527
21,3224.6357
22,2997.7495
23,2811.056
24,2661.7173
25,2547.9424
26,2467.4595
27,2416.6377
28,2390.5637
29,2383.38
30,2388.704
31,2400.4395
32,2413.7322
33,2425.4683
34,2434.1494
35,2439.437
36,2441.6409
37,2441.2964
38,2438.8684
39,2434.6223
40,2428.6648
41,2421.1013
42,2412.1965
43,2402.437
44,2392.4707
45,2382.9692
46,2374.4814
47,2367.3223
48,2361.5308
49,2356.8994
50,2353.0713
51,2349.669
52,2346.411
53,2343.1719
54,2339.98
55,2336.9624
56,2334.267
57,2331.9976
58,2330.1765
59,2328.7524
60,2327.6316
61,2326.7253
62,2325.9812
63,2325.3958
64,2324.9968
65,2324.8147
66,2324.8533
67,2325.073
68,2325.3967
69,2325.728
70,2325.9785
71,2326.0908
72,2326.0454
73,2325.8574
74,2325.5613
75,2325.1934
76,2324.7822
77,2324.3433
78,2323.8855
79,2323.4194
80,2322.962
81,2322.537
82,2322.1729
83,2321.8906
84,2321.7017
85,2321.6018
86,2321.575
87,2321.599
88,2321.6523
89,2321.7175
90,2321.7842
91,2321.8462
92,2321.8992
93,2321.939
94,2321.9604
95,2321.9595
96,2321.934
97,2321.8867
98,2321.823
99,2321.751
100,2321.6785
101,2321.6123
102,2321.555
103,2321.507
104,2321.4685
105,2321.438
106,2321.4148
107,2321.399
108,2321.3894
109,2321.3848
110,2321.384
111,2321.3835
112,2321.382
113,2321.378
114,2321.3706
115,2321.3606
116,2321.349
117,2321.336
118,2321.3225
119,2321.3086
120,2321.2937
121,2321.2786
122,2321.2637
123,2321.2485
124,2321.234
125,2321.2202
126,2321.207
127,2321.1938
128,2321.1804
129,2321.1665
130,2321.1526
131,2321.1382
132,2321.1235
133,2321.109
134,2321.0935
135,2321.0776
136,2321.0613
137,2321.0442
138,2321.0261
139,2321.0073
140,2320.9875
141,2320.9663
142,2320.9434
143,2320.9187
144,2320.8906
145,2320.8594
146,2320.8232
147,2320.7805
148,2320.7275
149,2320.6592
150,2320.566
151,2320.4316
152,2320.2292
153,2319.9153
154,2319.4353
155,2318.755
156,2317.9275
157,2317.1338
158,2316.3943
159,2315.2302
160,2313.2317
161,2310.2976
162,2306.517
163,2302.0496
164,2296.9873
165,2291.57
166,2286.285
167,2282.2212
168,2277.8713
169,2272.3782
170,2266.3887
171,2259.792
172,2252.0474
