,likelihood
0,
1,2260457.75
2,1361283.25
3,955244.6875
4,723643.9375
5,574704.75
6,471433.46875
7,396549.90625
8,340304.59375
9,297121.5
10,263178.78125
11,236068.84375
12,214063.21875
13,195929.25
14,180792.203125
15,168010.40625
16,157080.484375
17,147638.921875
18,139399.359375
19,132164.21875
20,125761.6796875
21,120061.625
22,114948.21875
23,110344.9765625
24,106191.5078125
25,102414.8046875
26,98978.1171875
27,95831.9375
28,92952.1875
29,90306.5
30,87867.890625
31,85619.234375
32,83540.515625
33,81609.7421875
34,79818.28125
35,78151.6796875
36,76593.7109375
37,75147.7734375
38,73784.0234375
39,72509.6875
40,71309.09375
41,70179.5625
42,69111.6953125
43,68097.703125
44,67142.125
45,66228.421875
46,65357.5625
47,64522.09765625
48,63725.0234375
49,62959.3515625
50,62221.6953125
51,61511.28125
52,60828.08984375
53,60162.5859375
54,59521.25
55,58899.671875
56,58296.40234375
57,57708.71875
58,57136.48828125
59,56583.25390625
60,56041.80859375
61,55514.5703125
62,54998.21484375
63,54496.12109375
64,54006.0859375
65,53523.61328125
66,53055.20703125
67,52593.95703125
68,52143.3203125
69,51699.75
70,51266.5859375
71,50842.25390625
72,50423.7421875
73,50015.1171875
74,49613.484375
75,49217.640625
76,48828.9375
77,48446.8359375
78,48072.48046875
79,47703.9453125
80,47341.80078125
81,46984.53515625
82,46635.0078125
83,46288.2578125
84,45948.4140625
85,45615.9296875
86,45287.4140625
87,44962.4453125
88,44645.55859375
89,44332.203125
90,44023.03515625
91,43721.71875
92,43421.66796875
93,43125.1171875
94,42836.83984375
95,42552.19921875
96,42270.859375
97,41993.41015625
98,41721.64453125
99,41454.90625
100,41188.8984375
101,40929.79296875
102,40672.88671875
103,40421.140625
104,40173.3828125
105,39928.8671875
106,39687.75
107,39450.00390625
108,39216.74609375
109,38987.37890625
110,38759.296875
111,38536.97265625
112,38318.1640625
113,38100.88671875
114,37887.46484375
115,37677.1328125
116,37470.0625
117,37267.60546875
118,37066.6796875
119,36869.65625
120,36674.17578125
121,36482.5390625
122,36293.796875
123,36107.73046875
124,35924.89453125
125,35744.33984375
126,35566.59765625
127,35390.55859375
128,35218.51953125
129,35049.83203125
130,34881.41796875
131,34716.640625
132,34554.3984375
133,34394.9375
134,34235.93359375
135,34080.36328125
136,33928.37890625
137,33777.9765625
138,33628.1015625
139,33481.6484375
140,33337.64453125
141,33195.4765625
142,33055.2421875
143,32917.4921875
144,32781.09765625
145,32647.447265625
146,32515.8359375
147,32384.71484375
148,32256.712890625
149,32130.716796875
150,32005.556640625
151,31882.515625
152,31762.123046875
153,31642.501953125
154,31524.044921875
155,31408.8359375
156,31294.00390625
157,31180.97265625
158,31070.244140625
159,30961.123046875
160,30852.859375
161,30747.06640625
162,30641.419921875
163,30537.404296875
164,30435.52734375
165,30334.41015625
166,30235.953125
167,30137.994140625
168,30040.796875
169,29945.771484375
170,29852.18359375
171,29758.7890625
172,29667.205078125
173,29577.2890625
174,29488.373046875
175,29400.6875
176,29313.15234375
177,29228.96484375
178,29143.7265625
179,29060.953125
180,28978.673828125
181,28897.21484375
182,28818.126953125
183,28738.634765625
184,28660.962890625
185,28583.734375
186,28507.560546875
187,28433.01171875
188,28358.529296875
189,28285.701171875
190,28213.869140625
191,28141.935546875
192,28072.357421875
193,28002.619140625
194,27933.521484375
195,27866.03125
196,27798.68359375
197,27732.69140625
198,27667.228515625
199,27602.7890625
200,27539.275390625
201,27476.2265625
202,27413.583984375
203,27352.46484375
204,27291.46875
205,27230.94921875
206,27172.279296875
207,27113.49609375
208,27055.603515625
209,26998.169921875
210,26941.5
211,26885.330078125
212,26829.720703125
213,26775.388671875
214,26720.626953125
215,26667.875
216,26614.205078125
217,26562.005859375
218,26510.390625
219,26458.724609375
220,26407.8984375
221,26357.740234375
222,26308.58203125
223,26258.78515625
224,26210.525390625
225,26162.16796875
226,26114.640625
227,26067.056640625
228,26021.1171875
229,25974.376953125
230,25929.275390625
231,25883.740234375
232,25838.9140625
233,25794.1875
234,25750.53125
235,25707.02734375
236,25663.14453125
237,25620.9296875
238,25578.5
239,25536.904296875
240,25494.9375
241,25454.54296875
242,25413.232421875
243,25372.703125
244,25332.912109375
245,25293.357421875
246,25253.955078125
247,25215.00390625
248,25175.95703125
249,25138.5078125
250,25100.005859375
251,25062.447265625
252,25024.666015625
253,24987.7734375
254,24951.158203125
255,24914.96875
256,24878.189453125
257,24842.681640625
258,24807.205078125
259,24772.26171875
260,24736.837890625
261,24702.4765625
262,24667.515625
263,24633.609375
264,24599.61328125
265,24566.046875
266,24532.34765625
267,24498.90625
268,24466.115234375
269,24433.783203125
270,24400.404296875
271,24368.6484375
272,24336.83984375
273,24305.0
274,24273.73046875
275,24242.130859375
276,24210.599609375
277,24180.046875
278,24149.029296875
279,24118.572265625
280,24087.908203125
281,24057.998046875
282,24028.1796875
283,23998.541015625
284,23968.4609375
285,23939.12109375
286,23910.0
287,23881.310546875
288,23852.001953125
289,23823.34375
290,23794.775390625
291,23766.705078125
292,23738.34765625
293,23709.90234375
294,23682.142578125
295,23654.0703125
296,23626.939453125
297,23599.294921875
298,23571.982421875
299,23544.67578125
300,23517.751953125
301,23490.4453125
302,23464.173828125
303,23437.455078125
304,23410.8203125
305,23384.57421875
306,23358.10546875
307,23332.40625
308,23306.2421875
309,23280.3125
310,23254.59765625
311,23228.775390625
312,23203.7109375
313,23178.01171875
314,23152.873046875
315,23127.751953125
316,23102.435546875
317,23077.86328125
318,23052.708984375
319,23027.94140625
320,23003.109375
321,22978.568359375
322,22954.615234375
323,22930.060546875
324,22905.958984375
325,22881.34765625
326,22857.728515625
327,22833.625
328,22809.56640625
329,22785.888671875
330,22762.181640625
331,22738.486328125
332,22714.919921875
333,22691.373046875
334,22668.107421875
335,22644.64453125
336,22621.662109375
337,22598.126953125
338,22575.37109375
339,22552.095703125
340,22529.328125
341,22506.73046875
342,22483.599609375
343,22461.326171875
344,22438.4140625
345,22416.052734375
346,22393.37109375
347,22371.142578125
348,22348.80859375
349,22326.330078125
350,22304.18359375
351,22282.078125
352,22259.755859375
353,22238.08203125
354,22215.958984375
355,22194.353515625
356,22172.2421875
357,22150.65234375
358,22129.560546875
359,22107.404296875
360,22086.41796875
361,22064.458984375
362,22043.568359375
363,22022.16015625
364,22001.078125
365,21979.732421875
366,21958.673828125
367,21937.431640625
368,21916.91015625
369,21895.759765625
370,21874.8828125
371,21853.990234375
372,21833.306640625
373,21813.234375
374,21791.970703125
375,21771.580078125
376,21750.830078125
377,21730.6875
378,21710.232421875
379,21689.994140625
380,21669.169921875
381,21649.212890625
382,21628.689453125
383,21608.994140625
384,21588.375
385,21568.3828125
386,21548.205078125
387,21528.490234375
388,21508.380859375
389,21488.787109375
390,21469.185546875
391,21449.10546875
392,21429.6328125
393,21409.759765625
394,21390.32421875
395,21370.19140625
