,trend_loss
411,1177.4686
412,1177.6493
413,1176.1881
414,1173.8933
415,1174.031
416,1171.0508
417,1170.3168
418,1168.4285
419,1165.9755
420,1164.9614
421,1163.0914
422,1164.1604
423,1163.4089
424,1161.891
425,1161.1527
426,1158.0652
427,1157.7369
428,1156.2827
429,1156.2242
430,1154.8473
431,1154.2343
432,1152.8829
433,1151.7317
434,1150.5349
435,1149.4626
436,1148.5763
437,1147.9949
438,1146.8157
439,1146.0815
440,1144.8124
441,1143.9181
442,1143.0172
443,1142.1958
444,1141.4375
445,1140.49
446,1139.6578
447,1138.6339
448,1137.8676
449,1136.9567
450,1136.2158
451,1135.4293
452,1134.5181
453,1133.72
454,1132.859
455,1132.0515
456,1131.314
457,1130.502
458,1129.7361
459,1128.9274
460,1128.1251
461,1127.3865
462,1126.6157
463,1125.8665
464,1125.1346
465,1124.3633
466,1123.6125
467,1122.8999
468,1122.17
469,1121.4481
470,1120.7477
471,1120.0317
472,1119.3235
473,1118.6447
474,1117.9626
475,1117.2742
476,1116.6039
477,1115.9453
478,1115.284
479,1114.6293
480,1113.989
481,1113.355
482,1112.722
483,1112.0966
484,1111.4836
485,1110.8794
486,1110.2788
487,1109.6821
488,1109.0925
489,1108.5127
490,1107.9414
491,1107.3773
492,1106.8208
493,1106.2727
494,1105.7344
495,1105.206
496,1104.6963
497,1104.2131
498,1103.8303
499,1103.5923
500,1104.3694
501,1105.449
502,1118.9741
503,1104.2861
504,1101.3832
505,1102.8475
506,1102.3196
507,1102.731
508,1099.5281
509,1098.6831
510,1099.5356
511,1100.6315
512,1109.3522
513,1099.4889
514,1096.8898
515,1096.918
516,1097.5398
517,1098.1375
518,1095.3972
519,1095.6825
520,1098.531
521,1095.1936
522,1093.7275
523,1093.4253
524,1093.904
525,1095.2981
526,1093.1523
527,1092.0713
528,1091.4498
529,1091.5833
530,1092.0872
531,1090.998
532,1090.2046
533,1089.7192
534,1089.6731
535,1090.01
536,1089.7096
537,1090.2397
538,1089.1394
539,1088.9441
540,1087.8489
541,1087.2253
542,1086.9279
543,1086.8743
544,1087.1304
545,1086.8887
546,1087.6117
547,1086.7445
548,1087.4917
549,1085.9438
550,1085.5457
551,1084.5287
552,1083.9863
553,1083.7382
554,1083.6938
555,1083.9869
556,1083.954
557,1085.3557
558,1084.2346
559,1085.5624
560,1082.9854
561,1081.9932
562,1081.3291
563,1081.3422
564,1081.959
565,1081.883
566,1083.3036
567,1081.4905
568,1081.1417
569,1079.8579
570,1079.29
571,1079.2433
572,1079.432
573,1080.2168
574,1079.6073
575,1080.0641
576,1078.6047
577,1077.8862
578,1077.3801
579,1077.2992
580,1077.6213
581,1077.6254
582,1078.4944
583,1077.506
584,1077.7565
585,1076.3987
586,1075.7056
587,1075.2649
588,1075.2179
589,1075.5258
590,1075.4902
591,1076.2339
592,1075.3486
593,1075.5671
594,1074.3306
595,1073.6835
596,1073.2025
597,1073.0703
598,1073.2233
599,1073.2578
600,1073.907
601,1073.2949
602,1073.7648
603,1072.4855
604,1071.9019
605,1071.2401
606,1070.9388
607,1070.9062
608,1070.959
609,1071.4331
610,1071.193
611,1072.12
612,1070.8788
613,1070.7742
614,1069.5908
615,1068.9888
616,1068.6475
617,1068.5543
618,1068.686
619,1068.693
620,1069.4154
621,1068.821
622,1069.5143
623,1068.0919
624,1067.6769
625,1066.7864
626,1066.3064
627,1066.032
628,1065.9128
629,1065.9722
630,1065.9048
631,1066.376
632,1065.9031
633,1066.5293
634,1065.4384
635,1065.5455
636,1064.4346
637,1063.9883
638,1063.3318
639,1062.8903
640,1062.5481
641,1062.2954
642,1062.1267
643,1061.9747
644,1062.1077
645,1061.9949
646,1063.1758
647,1062.5388
648,1065.6532
649,1061.9143
650,1061.4658
651,1059.3153
652,1058.5837
653,1058.875
654,1059.0758
655,1061.1469
656,1058.6682
657,1058.6838
658,1056.1554
659,1054.8729
660,1054.3011
661,1054.1499
662,1054.9353
663,1053.7566
664,1055.1161
665,1051.8625
666,1050.528
667,1048.9069
668,1047.9718
669,1047.4922
670,1047.0632
671,1047.6799
672,1045.9849
673,1045.7478
674,1043.2535
675,1041.7308
676,1040.5884
677,1039.828
678,1039.5026
679,1038.5116
680,1038.3901
681,1036.278
682,1035.053
683,1033.2351
684,1031.7661
685,1030.47
686,1029.314
687,1028.2502
688,1026.8176
689,1025.5259
690,1023.5026
691,1021.6299
692,1019.1982
693,1016.6938
694,1013.9737
695,1011.14966
696,1008.30023
697,1005.54584
698,1003.04443
699,1000.76483
700,998.85
701,996.96423
