,likelihood
304,873.2034912109375
305,872.333251953125
306,871.2399291992188
307,870.328125
308,869.2811279296875
309,868.406494140625
310,867.3035888671875
311,866.4466552734375
312,865.4338989257812
313,864.5345458984375
314,863.5029296875
315,862.6370849609375
316,861.650634765625
317,860.7982177734375
318,859.862060546875
319,859.0078735351562
320,858.0748901367188
321,857.0382080078125
322,855.9678955078125
323,855.118896484375
324,854.2068481445312
325,853.3821411132812
326,852.3295288085938
327,851.395751953125
328,850.4869995117188
329,849.636474609375
330,848.714111328125
331,847.7576293945312
332,846.8255004882812
333,845.929931640625
334,845.061767578125
335,844.1365356445312
336,843.2286376953125
337,842.2986450195312
338,841.4293212890625
339,840.540283203125
340,839.6613159179688
341,838.7352294921875
342,837.83203125
343,836.9464721679688
344,836.0692138671875
345,835.1968383789062
346,834.2986450195312
347,833.4178466796875
348,832.5154418945312
349,831.6183471679688
350,830.753173828125
351,829.87353515625
352,828.9976806640625
353,828.1246337890625
354,827.250732421875
355,826.3834228515625
356,825.5261840820312
357,824.6561279296875
358,823.8109130859375
359,822.9314575195312
360,822.0664672851562
361,821.1592407226562
362,820.2689819335938
363,819.3809814453125
364,818.4854736328125
365,817.6135864257812
366,816.7435302734375
367,815.8842163085938
368,815.0170288085938
369,814.174072265625
370,813.3201904296875
371,812.4876098632812
372,811.6383666992188
373,810.8458862304688
374,809.9439086914062
375,809.072509765625
376,808.1445922851562
377,807.2599487304688
378,806.3800659179688
379,805.5390625
380,804.6563110351562
381,803.760498046875
382,802.8857421875
383,801.9982299804688
384,801.1243286132812
385,800.2686157226562
386,799.3946533203125
387,798.5103149414062
388,797.6077880859375
389,796.7415161132812
390,795.8800659179688
391,795.0333251953125
392,794.1893310546875
393,793.3802490234375
394,792.5169677734375
395,791.7102661132812
396,790.787841796875
397,789.9081420898438
398,788.913818359375
399,787.9689331054688
400,787.0744018554688
401,786.2230834960938
402,785.4100952148438
403,784.5537719726562
404,783.692626953125
405,782.7583618164062
406,781.8858032226562
407,780.9788818359375
408,780.1178588867188
409,779.2005004882812
410,778.285400390625
411,777.3880004882812
412,776.4983520507812
413,775.635498046875
414,774.7738647460938
415,773.9254150390625
416,773.0173950195312
417,772.1206665039062
418,771.1607666015625
419,770.2494506835938
420,769.375732421875
421,768.5283203125
422,767.6859741210938
423,766.8351440429688
424,765.940673828125
425,765.1160888671875
426,764.1728515625
427,763.32080078125
428,762.3497924804688
429,761.460205078125
430,760.5265502929688
431,759.6243286132812
432,758.65380859375
433,757.7171630859375
434,756.8662719726562
435,755.9966430664062
436,755.1524047851562
437,754.1677856445312
438,753.731689453125
439,752.2985229492188
440,751.7881469726562
441,751.6619262695312
442,750.2415771484375
443,748.9671630859375
444,747.8316040039062
445,747.1298828125
446,746.4718627929688
447,745.2465209960938
448,744.4013671875
449,743.627685546875
450,742.4226684570312
451,741.4408569335938
452,740.7171630859375
453,739.8189697265625
454,738.7058715820312
455,737.7434692382812
456,736.9824829101562
457,736.1116333007812
458,735.0362548828125
459,734.0659790039062
460,733.2401733398438
461,732.3750610351562
462,731.3806762695312
463,730.3851318359375
464,729.4874877929688
465,728.6292114257812
466,727.6904907226562
467,726.7183227539062
468,725.792236328125
469,724.87158203125
470,723.966552734375
471,723.0206909179688
472,722.0712890625
473,721.1358032226562
474,720.2277221679688
475,719.3256225585938
476,718.39208984375
477,717.4419555664062
478,716.4864501953125
479,715.5443725585938
480,714.60986328125
481,713.6966552734375
482,712.7688598632812
483,711.8577880859375
484,710.9313354492188
485,710.0357055664062
486,709.1065673828125
487,708.2322387695312
488,707.25927734375
489,706.2872314453125
490,705.2957763671875
491,704.387451171875
492,703.5383911132812
493,702.852294921875
494,702.0044555664062
495,701.3826904296875
496,699.9661254882812
497,698.7363891601562
498,697.7033081054688
499,696.956298828125
500,696.2715454101562
501,695.1644897460938
502,694.0289916992188
503,692.9715576171875
504,692.1127319335938
505,691.328857421875
506,690.3356323242188
507,689.29833984375
508,688.2210693359375
509,687.2699584960938
510,686.4063720703125
511,685.5147094726562
512,684.6298828125
513,683.6070556640625
514,682.6326904296875
515,681.69775390625
516,680.9114990234375
517,680.004150390625
518,679.0794067382812
519,677.8560180664062
520,676.8035278320312
521,675.9393310546875
522,675.02392578125
523,674.0543823242188
524,673.0183715820312
525,672.070556640625
526,671.0967407226562
527,670.119873046875
528,669.2050170898438
529,668.2662353515625
530,667.2898559570312
531,666.4224853515625
532,665.632568359375
533,665.1217651367188
534,664.12451171875
535,663.4747314453125
536,661.7606201171875
537,660.4441528320312
538,659.529541015625
539,658.8250732421875
540,658.1686401367188
541,656.8140258789062
542,655.61962890625
543,654.6765747070312
544,653.8529663085938
545,653.0059814453125
546,651.8300170898438
547,650.75634765625
548,649.802978515625
549,648.9061279296875
550,647.9506225585938
551,646.897705078125
552,645.8823852539062
553,644.90576171875
554,643.952880859375
555,642.962158203125
556,641.9574584960938
557,640.9457397460938
558,639.946533203125
559,638.998046875
560,638.0552368164062
561,637.110595703125
562,636.0942993164062
563,635.0735473632812
564,634.06640625
565,633.1312866210938
566,632.1763916015625
567,631.2394409179688
568,630.221435546875
569,629.2745971679688
570,628.2452392578125
571,627.2860107421875
572,626.2759399414062
573,625.298095703125
574,624.247314453125
575,623.2154541015625
576,622.1577758789062
577,621.13134765625
578,620.1265258789062
579,619.15771484375
580,618.1583251953125
581,617.2033081054688
582,616.2373657226562
583,615.355224609375
584,614.4771728515625
585,613.8568725585938
586,612.9280395507812
587,612.34423828125
588,610.9302978515625
589,609.5956420898438
590,608.20849609375
591,607.1437377929688
592,606.3619995117188
593,605.5521850585938
594,604.7518310546875
595,603.5635375976562
596,602.33154296875
597,601.1367797851562
598,600.1249389648438
